Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
12/15/2020,Eastern Shore,Female,985,81,26
12/15/2020,Lord Fairfax,Not Reported,43,0,0
12/15/2020,Rappahannock,Not Reported,144,0,0
12/15/2020,Central Shenandoah,Not Reported,253,0,0
12/15/2020,Peninsula,Male,3728,176,52
12/15/2020,Norfolk,Male,3673,247,53
12/15/2020,Alexandria,Female,3323,179,39
12/15/2020,Lenowisco,Male,1759,112,51
12/15/2020,Pittsylvania-Danville,Female,2328,164,50
12/15/2020,New River,Not Reported,57,0,1
12/15/2020,Chesterfield,Not Reported,183,0,4
12/15/2020,Loudoun,Male,5936,326,64
12/15/2020,Rappahannock Rapidan,Female,2433,107,28
12/15/2020,Piedmont,Female,1462,98,21
12/15/2020,Richmond,Male,3648,262,52
12/15/2020,Crater,Female,2840,198,67
12/15/2020,Portsmouth,Female,1915,214,40
12/15/2020,Arlington,Not Reported,19,0,0
12/15/2020,Mount Rogers,Not Reported,79,2,1
12/15/2020,Thomas Jefferson,Not Reported,13,0,0
12/15/2020,Three Rivers,Not Reported,42,1,0
12/15/2020,Hampton,Male,1593,96,21
12/15/2020,Alleghany,Male,3023,83,39
12/15/2020,Roanoke,Female,2655,71,43
12/15/2020,Loudoun,Not Reported,107,0,0
12/15/2020,Fairfax,Female,19342,1187,310
12/15/2020,Western Tidewater,Male,3119,159,92
12/15/2020,Peninsula,Not Reported,61,0,0
12/15/2020,New River,Male,3638,94,29
12/15/2020,Central Shenandoah,Male,5961,238,72
12/15/2020,Southside,Male,1236,62,31
12/15/2020,Chesterfield,Male,5654,312,93
12/15/2020,Arlington,Female,3732,271,72
09/02/2020,Southside,Not Reported,4,0,0
09/02/2020,Chesapeake,Female,2114,173,22
09/02/2020,Richmond,Female,1959,185,18
09/02/2020,Roanoke,Male,561,19,6
09/02/2020,Fairfax,Not Reported,138,2,5
09/02/2020,Thomas Jefferson,Female,1335,88,28
09/02/2020,Chesapeake,Not Reported,5,0,0
09/02/2020,Cumberland Plateau,Male,262,25,3
09/02/2020,Eastern Shore,Female,732,69,26
09/02/2020,Lord Fairfax,Not Reported,13,0,0
09/02/2020,Rappahannock,Not Reported,7,1,0
09/02/2020,Central Shenandoah,Not Reported,5,0,0
09/02/2020,Peninsula,Male,1824,94,25
09/02/2020,Norfolk,Male,2114,144,31
09/02/2020,Alexandria,Female,1772,138,34
09/02/2020,Lenowisco,Male,361,34,8
09/02/2020,Pittsylvania-Danville,Female,763,58,12
09/02/2020,New River,Not Reported,10,0,0
09/02/2020,Chesterfield,Not Reported,131,0,1
